Time;Source;Destination;Protocol;Length;Label
28084;1921681011;192168103;6;42;1
28086;1921681011;192168103;6;42;1
28088;1921681011;192168103;6;42;1
28090;1921681011;192168103;6;42;1
28092;1921681011;192168103;6;42;1
28095;1921681011;192168103;6;42;1
28096;1921681011;192168103;6;42;1
28098;1921681011;192168103;6;42;1
28099;1921681011;192168103;6;42;1
28101;1921681011;192168103;6;42;1
28103;1921681011;192168103;6;42;1
28105;1921681011;192168103;6;42;1
28107;1921681011;192168103;6;42;1
28109;1921681011;192168103;6;42;1
28110;1921681011;192168103;6;42;1
28112;1921681011;192168103;6;42;1
28113;1921681011;192168103;6;42;1
28115;1921681011;192168103;6;42;1
28116;1921681011;192168103;17;42;1
28118;1921681011;192168103;6;42;1
28120;1921681011;192168103;6;42;1
28122;1921681011;192168103;6;42;1
28124;1921681011;192168103;6;42;1
28125;1921681011;192168103;6;42;1
28127;1921681011;192168103;6;42;1
28134;1921681011;192168103;6;42;1
28136;1921681011;192168103;6;42;1
28137;1921681011;192168103;6;42;1
28139;1921681011;192168103;6;42;1
28140;1921681011;192168103;17;42;1
28141;1921681011;192168103;6;42;1
28142;1921681011;192168103;6;42;1
28143;1921681011;192168103;6;42;1
28144;1921681011;192168103;6;42;1
28144;1921681011;192168103;6;42;1
28145;1921681011;192168103;6;42;1
28146;1921681011;192168103;17;42;1
28147;1921681011;192168103;17;42;1
28148;1921681011;192168103;17;42;1
28149;1921681011;192168103;6;42;1
28151;1921681011;192168103;6;42;1
28152;1921681011;192168103;6;42;1
28153;1921681011;192168103;17;42;1
28154;1921681011;192168103;6;42;1
28157;1921681011;192168103;6;42;1
28158;1921681011;192168103;6;42;1
28160;1921681011;192168103;6;42;1
28161;1921681011;192168103;17;42;1
28163;1921681011;192168103;17;42;1
28164;1921681011;192168103;6;42;1
28164;1921681011;192168103;6;42;1
28166;1921681011;192168103;6;42;1
28168;1921681011;192168103;6;42;1
28169;1921681011;192168103;6;42;1
28171;1921681011;192168103;6;42;1
28173;1921681011;192168103;6;42;1
28174;1921681011;192168103;6;42;1
28175;1921681011;192168103;6;42;1
28177;1921681011;192168103;6;42;1
28178;1921681011;192168103;6;42;1
28179;1921681011;192168103;6;42;1
28182;1921681011;192168103;17;42;1
28184;1921681011;192168103;6;42;1
28186;1921681011;192168103;17;42;1
28188;1921681011;192168103;6;42;1
28190;1921681011;192168103;6;42;1
28192;1921681011;192168103;6;42;1
28194;1921681011;192168103;6;42;1
28195;1921681011;192168103;6;42;1
28197;1921681011;192168103;6;42;1
28199;1921681011;192168103;0;42;1
28200;1921681011;192168103;6;42;1
28202;1921681011;192168103;6;42;1
28203;1921681011;192168103;6;42;1
28204;1921681011;192168103;6;42;1
28206;1921681011;192168103;17;42;1
28207;1921681011;192168103;17;42;1
28209;1921681011;192168103;6;42;1
28210;1921681011;192168103;6;42;1
28212;1921681011;192168103;6;42;1
28213;1921681011;192168103;6;42;1
28214;1921681011;192168103;6;42;1
28216;1921681011;192168103;6;42;1
28217;1921681011;192168103;6;42;1
28219;1921681011;192168103;6;42;1
28220;1921681011;192168103;6;42;1
28222;1921681011;192168103;6;42;1
28223;1921681011;192168103;6;42;1
28224;1921681011;192168103;17;42;1
28225;1921681011;192168103;17;42;1
28226;1921681011;192168103;6;42;1
28228;1921681011;192168103;6;42;1
28229;1921681011;192168103;6;42;1
28230;1921681011;192168103;6;42;1
28232;1921681011;192168103;6;42;1
28233;1921681011;192168103;6;42;1
28235;1921681011;192168103;6;42;1
28237;1921681011;192168103;6;42;1
28238;1921681011;192168103;6;42;1
28240;1921681011;192168103;6;42;1
28242;1921681011;192168103;6;42;1
28244;1921681011;192168103;6;42;1
28246;1921681011;192168103;6;42;1
28248;1921681011;192168103;6;42;1
28250;1921681011;192168103;6;42;1
28251;1921681011;192168103;6;42;1
28253;1921681011;192168103;6;42;1
28254;1921681011;192168103;6;42;1
28255;1921681011;192168103;6;42;1
28256;1921681011;192168103;6;42;1
28258;1921681011;192168103;6;42;1
51455;1921681011;192168103;6;42;1
51467;1921681011;192168103;6;42;1
51470;1921681011;192168103;6;42;1
51472;1921681011;192168103;6;42;1
51475;1921681011;192168103;6;42;1
51477;1921681011;192168103;6;42;1
51479;1921681011;192168103;6;42;1
51481;1921681011;192168103;0;42;1
51483;1921681011;192168103;6;42;1
51485;1921681011;192168103;6;42;1
51487;1921681011;192168103;6;42;1
51489;1921681011;192168103;17;42;1
51491;1921681011;192168103;6;42;1
51493;1921681011;192168103;6;42;1
51495;1921681011;192168103;6;42;1
51497;1921681011;192168103;6;42;1
51499;1921681011;192168103;17;42;1
51501;1921681011;192168103;6;42;1
51503;1921681011;192168103;17;42;1
51505;1921681011;192168103;6;42;1
51509;1921681011;192168103;6;42;1
51511;1921681011;192168103;6;42;1
51526;1921681011;192168103;6;42;1
51533;1921681011;192168103;6;42;1
51535;1921681011;192168103;6;42;1
51540;1921681011;192168103;6;42;1
51542;1921681011;192168103;6;42;1
51547;1921681011;192168103;6;42;1
51549;1921681011;192168103;6;42;1
51554;1921681011;192168103;6;42;1
51557;1921681011;192168103;6;42;1
51567;1921681011;192168103;6;42;1
51571;1921681011;192168103;6;42;1
51573;1921681011;192168103;6;42;1
51575;1921681011;192168103;6;42;1
51580;1921681011;192168103;6;42;1
51583;1921681011;192168103;6;42;1
51587;1921681011;192168103;6;42;1
51590;1921681011;192168103;6;42;1
51594;1921681011;192168103;6;42;1
51596;1921681011;192168103;6;42;1
51600;1921681011;192168103;6;42;1
51602;1921681011;192168103;6;42;1
51606;1921681011;192168103;6;42;1
51608;1921681011;192168103;6;42;1
51612;1921681011;192168103;6;42;1
51614;1921681011;192168103;6;42;1
51618;1921681011;192168103;6;42;1
51620;1921681011;192168103;6;42;1
51624;1921681011;192168103;6;42;1
51626;1921681011;192168103;6;42;1
51629;1921681011;192168103;6;42;1
51631;1921681011;192168103;6;42;1
51635;1921681011;192168103;6;42;1
51638;1921681011;192168103;6;42;1
51641;1921681011;192168103;6;42;1
51646;1921681011;192168103;6;42;1
51648;1921681011;192168103;6;42;1
51652;1921681011;192168103;6;42;1
51654;1921681011;192168103;6;42;1
51657;1921681011;192168103;6;42;1
51660;1921681011;192168103;6;42;1
51663;1921681011;192168103;6;42;1
51665;1921681011;192168103;6;42;1
51669;1921681011;192168103;6;42;1
51671;1921681011;192168103;6;42;1
51675;1921681011;192168103;6;42;1
51677;1921681011;192168103;6;42;1
51680;1921681011;192168103;6;42;1
51682;1921681011;192168103;6;42;1
51690;1921681011;192168103;6;42;1
51694;1921681011;192168103;6;42;1
51696;1921681011;192168103;6;42;1
51700;1921681011;192168103;6;42;1
51702;1921681011;192168103;6;42;1
51705;1921681011;192168103;6;42;1
51707;1921681011;192168103;6;42;1
51710;1921681011;192168103;6;42;1
51713;1921681011;192168103;6;42;1
51716;1921681011;192168103;6;42;1
51718;1921681011;192168103;6;42;1
51721;1921681011;192168103;6;42;1
51724;1921681011;192168103;6;42;1
51727;1921681011;192168103;6;42;1
51729;1921681011;192168103;6;42;1
51733;1921681011;192168103;6;42;1
51735;1921681011;192168103;6;42;1
51738;1921681011;192168103;6;42;1
51740;1921681011;192168103;6;42;1
51743;1921681011;192168103;6;42;1
51745;1921681011;192168103;6;42;1
51748;1921681011;192168103;6;42;1
51751;1921681011;192168103;6;42;1
51754;1921681011;192168103;6;42;1
51756;1921681011;192168103;6;42;1
51760;1921681011;192168103;6;42;1
51762;1921681011;192168103;6;42;1
51765;1921681011;192168103;6;42;1
51767;1921681011;192168103;6;42;1
51771;1921681011;192168103;6;42;1
51773;1921681011;192168103;6;42;1
51776;1921681011;192168103;0;42;1
51778;1921681011;192168103;6;42;1
51782;1921681011;192168103;17;42;1
51784;1921681011;192168103;0;42;1
51787;1921681011;192168103;17;42;1
51790;1921681011;192168103;6;42;1
51793;1921681011;192168103;0;42;1
51795;1921681011;192168103;17;42;1
51798;1921681011;192168103;6;42;1
51800;1921681011;192168103;6;42;1
51804;1921681011;192168103;6;42;1
51806;1921681011;192168103;6;42;1
51809;1921681011;192168103;6;42;1
51811;1921681011;192168103;6;42;1
51815;1921681011;192168103;17;42;1
51817;1921681011;192168103;17;42;1
51820;1921681011;192168103;17;42;1
51822;1921681011;192168103;17;42;1
51825;1921681011;192168103;6;42;1
51828;1921681011;192168103;6;42;1
51831;1921681011;192168103;6;42;1
51833;1921681011;192168103;6;42;1
51836;1921681011;192168103;6;42;1
51838;1921681011;192168103;6;42;1
51842;1921681011;192168103;17;42;1
51844;1921681011;192168103;6;42;1
51848;1921681011;192168103;6;42;1
51857;1921681011;192168103;17;42;1
51861;1921681011;192168103;6;42;1
51864;1921681011;192168103;6;42;1
51867;1921681011;192168103;6;42;1
51869;1921681011;192168103;6;42;1
51872;1921681011;192168103;6;42;1
51874;1921681011;192168103;6;42;1
51878;1921681011;192168103;6;42;1
51880;1921681011;192168103;17;42;1
51884;1921681011;192168103;17;42;1
51887;1921681011;192168103;6;42;1
51890;1921681011;192168103;6;42;1
51892;1921681011;192168103;6;42;1
51896;1921681011;192168103;6;42;1
51898;1921681011;192168103;6;42;1
75206;1921681011;192168103;6;42;1
75220;1921681011;192168103;6;42;1
75222;1921681011;192168103;6;42;1
75224;1921681011;192168103;6;42;1
75226;1921681011;192168103;6;42;1
75228;1921681011;192168103;6;42;1
75230;1921681011;192168103;6;42;1
75232;1921681011;192168103;6;42;1
75234;1921681011;192168103;6;42;1
75236;1921681011;192168103;17;42;1
75238;1921681011;192168103;6;42;1
75240;1921681011;192168103;6;42;1
75242;1921681011;192168103;17;42;1
75244;1921681011;192168103;6;42;1
75246;1921681011;192168103;6;42;1
75248;1921681011;192168103;6;42;1
75250;1921681011;192168103;0;42;1
75252;1921681011;192168103;17;42;1
75254;1921681011;192168103;17;42;1
75256;1921681011;192168103;6;42;1
75258;1921681011;192168103;6;42;1
75260;1921681011;192168103;6;42;1
75263;1921681011;192168103;6;42;1
75273;1921681011;192168103;6;42;1
75275;1921681011;192168103;6;42;1
75278;1921681011;192168103;6;42;1
75283;1921681011;192168103;6;42;1
75286;1921681011;192168103;6;42;1
75290;1921681011;192168103;6;42;1
75292;1921681011;192168103;6;42;1
75297;1921681011;192168103;6;42;1
75299;1921681011;192168103;6;42;1
75303;1921681011;192168103;6;42;1
75305;1921681011;192168103;6;42;1
75307;1921681011;192168103;6;42;1
75311;1921681011;192168103;6;42;1
75313;1921681011;192168103;6;42;1
75316;1921681011;192168103;0;42;1
75318;1921681011;192168103;0;42;1
75323;1921681011;192168103;0;42;1
75326;1921681011;192168103;0;42;1
75329;1921681011;192168103;0;42;1
75331;1921681011;192168103;0;42;1
75336;1921681011;192168103;0;42;1
75338;1921681011;192168103;0;42;1
75342;1921681011;192168103;0;42;1
75344;1921681011;192168103;0;42;1
75348;1921681011;192168103;0;42;1
75350;1921681011;192168103;0;42;1
75353;1921681011;192168103;0;42;1
75355;1921681011;192168103;0;42;1
75359;1921681011;192168103;0;42;1
75361;1921681011;192168103;0;42;1
75365;1921681011;192168103;0;42;1
75367;1921681011;192168103;0;42;1
75370;1921681011;192168103;0;42;1
75372;1921681011;192168103;0;42;1
75376;1921681011;192168103;0;42;1
75378;1921681011;192168103;0;42;1
75381;1921681011;192168103;0;42;1
75383;1921681011;192168103;0;42;1
75387;1921681011;192168103;0;42;1
75389;1921681011;192168103;0;42;1
75393;1921681011;192168103;0;42;1
75395;1921681011;192168103;0;42;1
75398;1921681011;192168103;0;42;1
75400;1921681011;192168103;0;42;1
75404;1921681011;192168103;0;42;1
75406;1921681011;192168103;0;42;1
75410;1921681011;192168103;0;42;1
75412;1921681011;192168103;0;42;1
75415;1921681011;192168103;0;42;1
75418;1921681011;192168103;0;42;1
75421;1921681011;192168103;0;42;1
75423;1921681011;192168103;0;42;1
75426;1921681011;192168103;0;42;1
75428;1921681011;192168103;0;42;1
75432;1921681011;192168103;0;42;1
75434;1921681011;192168103;0;42;1
75438;1921681011;192168103;0;42;1
75441;1921681011;192168103;0;42;1
75444;1921681011;192168103;0;42;1
75447;1921681011;192168103;0;42;1
75450;1921681011;192168103;0;42;1
75452;1921681011;192168103;0;42;1
75456;1921681011;192168103;0;42;1
75458;1921681011;192168103;0;42;1
75461;1921681011;192168103;0;42;1
75463;1921681011;192168103;0;42;1
75466;1921681011;192168103;0;42;1
75468;1921681011;192168103;0;42;1
75472;1921681011;192168103;0;42;1
75474;1921681011;192168103;0;42;1
75477;1921681011;192168103;6;42;1
75479;1921681011;192168103;0;42;1
75482;1921681011;192168103;0;42;1
75484;1921681011;192168103;0;42;1
75488;1921681011;192168103;0;42;1
75490;1921681011;192168103;0;42;1
75493;1921681011;192168103;0;42;1
75495;1921681011;192168103;0;42;1
75499;1921681011;192168103;0;42;1
75501;1921681011;192168103;0;42;1
75504;1921681011;192168103;0;42;1
75506;1921681011;192168103;0;42;1
75509;1921681011;192168103;0;42;1
75511;1921681011;192168103;0;42;1
75515;1921681011;192168103;6;42;1
75517;1921681011;192168103;0;42;1
75521;1921681011;192168103;0;42;1
75523;1921681011;192168103;0;42;1
75526;1921681011;192168103;0;42;1
75528;1921681011;192168103;0;42;1
75532;1921681011;192168103;0;42;1
75534;1921681011;192168103;0;42;1
75537;1921681011;192168103;0;42;1
75539;1921681011;192168103;0;42;1
75542;1921681011;192168103;0;42;1
75544;1921681011;192168103;0;42;1
75548;1921681011;192168103;0;42;1
75550;1921681011;192168103;0;42;1
75553;1921681011;192168103;0;42;1
75555;1921681011;192168103;0;42;1
75558;1921681011;192168103;0;42;1
75560;1921681011;192168103;0;42;1
75564;1921681011;192168103;0;42;1
75566;1921681011;192168103;0;42;1
75569;1921681011;192168103;0;42;1
75572;1921681011;192168103;0;42;1
75576;1921681011;192168103;0;42;1
75578;1921681011;192168103;0;42;1
75581;1921681011;192168103;0;42;1
75583;1921681011;192168103;0;42;1
75587;1921681011;192168103;0;42;1
75589;1921681011;192168103;0;42;1
75592;1921681011;192168103;0;42;1
75594;1921681011;192168103;0;42;1
75598;1921681011;192168103;0;42;1
75600;1921681011;192168103;17;42;1
75604;1921681011;192168103;0;42;1
75606;1921681011;192168103;0;42;1
75609;1921681011;192168103;0;42;1
75611;1921681011;192168103;0;42;1
75614;1921681011;192168103;0;42;1
75616;1921681011;192168103;0;42;1
75619;1921681011;192168103;6;42;1
86734;192168103;1921681011;0;42;1
86752;192168103;1921681011;0;42;1
86761;192168103;1921681011;0;42;1
90515;192168103;1921681011;0;42;1
90535;192168103;1921681011;0;42;1
90542;192168103;1921681011;0;42;1
90549;192168103;1921681011;0;42;1
99079;1921681011;192168103;0;42;1
99091;1921681011;192168103;0;42;1
99094;1921681011;192168103;0;42;1
99096;1921681011;192168103;0;42;1
99098;1921681011;192168103;0;42;1
99100;1921681011;192168103;0;42;1
99102;1921681011;192168103;0;42;1
99104;1921681011;192168103;0;42;1
99106;1921681011;192168103;0;42;1
99108;1921681011;192168103;0;42;1
99110;1921681011;192168103;0;42;1
99112;1921681011;192168103;0;42;1
99114;1921681011;192168103;0;42;1
99116;1921681011;192168103;0;42;1
99117;1921681011;192168103;0;42;1
99119;1921681011;192168103;0;42;1
99121;1921681011;192168103;0;42;1
99123;1921681011;192168103;0;42;1
99125;1921681011;192168103;0;42;1
99127;1921681011;192168103;0;42;1
99129;1921681011;192168103;0;42;1
99131;1921681011;192168103;0;42;1
99144;1921681011;192168103;0;42;1
99146;1921681011;192168103;0;42;1
99149;1921681011;192168103;0;42;1
99155;1921681011;192168103;0;42;1
99157;1921681011;192168103;0;42;1
99162;1921681011;192168103;0;42;1
99164;1921681011;192168103;0;42;1
99169;1921681011;192168103;0;42;1
99171;1921681011;192168103;0;42;1
99176;1921681011;192168103;0;42;1
99178;1921681011;192168103;0;42;1
99184;1921681011;192168103;0;42;1
99192;1921681011;192168103;0;42;1
99196;1921681011;192168103;0;42;1
99198;1921681011;192168103;0;42;1
99200;1921681011;192168103;0;42;1
99202;1921681011;192168103;0;42;1
99203;1921681011;192168103;0;42;1
99205;1921681011;192168103;0;42;1
99207;1921681011;192168103;0;42;1
99209;1921681011;192168103;0;42;1
99211;1921681011;192168103;0;42;1
99216;1921681011;192168103;0;42;1
99218;1921681011;192168103;0;42;1
99222;1921681011;192168103;0;42;1
99224;1921681011;192168103;0;42;1
99229;1921681011;192168103;0;42;1
99231;1921681011;192168103;0;42;1
99235;1921681011;192168103;0;42;1
99237;1921681011;192168103;0;42;1
99241;1921681011;192168103;0;42;1
99243;1921681011;192168103;0;42;1
99246;1921681011;192168103;0;42;1
99248;1921681011;192168103;0;42;1
99253;1921681011;192168103;0;42;1
99255;1921681011;192168103;0;42;1
99258;1921681011;192168103;0;42;1
99260;1921681011;192168103;0;42;1
99265;1921681011;192168103;0;42;1
99267;1921681011;192168103;0;42;1
99270;1921681011;192168103;0;42;1
99272;1921681011;192168103;0;42;1
99276;1921681011;192168103;17;42;1
99281;1921681011;192168103;0;42;1
99283;1921681011;192168103;0;42;1
99286;1921681011;192168103;0;42;1
99288;1921681011;192168103;0;42;1
99292;1921681011;192168103;0;42;1
99295;1921681011;192168103;0;42;1
99299;1921681011;192168103;0;42;1
99301;1921681011;192168103;0;42;1
99305;1921681011;192168103;0;42;1
99309;1921681011;192168103;0;42;1
99311;1921681011;192168103;0;42;1
99315;1921681011;192168103;0;42;1
99317;1921681011;192168103;0;42;1
99321;1921681011;192168103;0;42;1
99323;1921681011;192168103;0;42;1
99327;1921681011;192168103;0;42;1
99329;1921681011;192168103;0;42;1
99332;1921681011;192168103;0;42;1
99334;1921681011;192168103;0;42;1
99337;1921681011;192168103;0;42;1
99339;1921681011;192168103;0;42;1
99343;1921681011;192168103;0;42;1
99345;1921681011;192168103;0;42;1
99348;1921681011;192168103;0;42;1
99350;1921681011;192168103;0;42;1
99354;1921681011;192168103;6;42;1
99356;1921681011;192168103;0;42;1
99359;1921681011;192168103;0;42;1
99361;1921681011;192168103;0;42;1
99364;1921681011;192168103;0;42;1
99367;1921681011;192168103;0;42;1
99370;1921681011;192168103;0;42;1
99372;1921681011;192168103;6;42;1
99375;1921681011;192168103;0;42;1
99377;1921681011;192168103;0;42;1
99381;1921681011;192168103;0;42;1
99383;1921681011;192168103;0;42;1
99386;1921681011;192168103;0;42;1
99388;1921681011;192168103;0;42;1
99392;1921681011;192168103;0;42;1
99394;1921681011;192168103;0;42;1
99397;1921681011;192168103;0;42;1
99399;1921681011;192168103;0;42;1
99402;1921681011;192168103;0;42;1
99404;1921681011;192168103;0;42;1
99407;1921681011;192168103;0;42;1
99410;1921681011;192168103;0;42;1
99413;1921681011;192168103;0;42;1
99415;1921681011;192168103;0;42;1
99418;1921681011;192168103;0;42;1
99420;1921681011;192168103;0;42;1
99424;1921681011;192168103;0;42;1
99426;1921681011;192168103;0;42;1
99429;1921681011;192168103;0;42;1
99434;1921681011;192168103;0;42;1
99437;1921681011;192168103;0;42;1
99440;1921681011;192168103;0;42;1
99442;1921681011;192168103;0;42;1
99445;1921681011;192168103;0;42;1
99448;1921681011;192168103;0;42;1
99451;1921681011;192168103;0;42;1
99453;1921681011;192168103;0;42;1
99456;1921681011;192168103;0;42;1
99465;1921681011;192168103;0;42;1
99469;1921681011;192168103;0;42;1
99471;1921681011;192168103;0;42;1
99474;1921681011;192168103;0;42;1
99476;1921681011;192168103;0;42;1
99480;1921681011;192168103;0;42;1
99482;1921681011;192168103;0;42;1
99486;1921681011;192168103;0;42;1
99488;1921681011;192168103;0;42;1
99491;1921681011;192168103;0;42;1
99493;1921681011;192168103;0;42;1
99496;1921681011;192168103;0;42;1
99499;1921681011;192168103;0;42;1
99502;1921681011;192168103;0;42;1
99504;1921681011;192168103;0;42;1
99508;1921681011;192168103;0;42;1
99510;1921681011;192168103;0;42;1
99513;1921681011;192168103;0;42;1
102843;192168103;1921681011;0;42;1
102854;192168103;1921681011;0;42;1
102861;192168103;1921681011;0;42;1
102866;192168103;1921681011;0;42;1
102873;192168103;1921681011;0;42;1
102957;192168103;1921681011;0;42;1
108829;192168103;1921681011;0;42;1
108836;192168103;1921681011;0;42;1
108946;192168103;1921681011;0;42;1
108953;192168103;1921681011;0;42;1
108957;192168103;1921681011;0;42;1
123254;1921681011;192168103;0;42;1
123270;1921681011;192168103;0;42;1
123273;1921681011;192168103;0;42;1
123276;1921681011;192168103;0;42;1
123278;1921681011;192168103;0;42;1
123281;1921681011;192168103;0;42;1
123283;1921681011;192168103;0;42;1
123286;1921681011;192168103;0;42;1
123288;1921681011;192168103;0;42;1
123291;1921681011;192168103;0;42;1
123293;1921681011;192168103;0;42;1
123295;1921681011;192168103;0;42;1
123297;1921681011;192168103;0;42;1
123299;1921681011;192168103;0;42;1
123301;1921681011;192168103;0;42;1
123304;1921681011;192168103;0;42;1
123306;1921681011;192168103;0;42;1
123308;1921681011;192168103;0;42;1
123310;1921681011;192168103;0;42;1
123324;1921681011;192168103;0;42;1
123326;1921681011;192168103;0;42;1
123333;1921681011;192168103;0;42;1
123335;1921681011;192168103;0;42;1
123340;1921681011;192168103;0;42;1
123342;1921681011;192168103;0;42;1
123346;1921681011;192168103;6;42;1
123349;1921681011;192168103;0;42;1
123355;1921681011;192168103;0;42;1
123357;1921681011;192168103;0;42;1
123362;1921681011;192168103;0;42;1
123364;1921681011;192168103;0;42;1
123368;1921681011;192168103;0;42;1
123370;1921681011;192168103;0;42;1
123372;1921681011;192168103;0;42;1
